Key,Gate,Velo,Time,Bar,part,PhoVal,id,Remain,Dynamic
53,240,60,23520,10,5,e,276,1,p
65,240,60,23760,10,5,e,277,2,p
62,240,60,23760,10,5,e,278,1,p
58,240,60,23760,10,5,e,279,1,p
79,480,60,24000,10,2,q,280,2,p
46,240,60,24000,10,5,e,281,2,p
62,240,60,24240,10,5,e,282,2,p
53,240,60,24240,10,5,e,283,1,p
77,240,60,24480,10,2,e,284,2,p
65,240,60,24480,10,5,e,285,2,p
62,240,60,24480,10,5,e,286,1,p
58,240,60,24480,10,5,e,287,1,p
77,720,60,24720,10,2,c,288,2,pp
45,240,60,24720,10,5,e,289,2,pp
60,240,60,24960,10,5,e,290,2,pp
53,240,60,24960,10,5,e,291,1,pp
65,240,60,25200,10,5,e,292,2,pp
60,240,60,25200,10,5,e,293,1,pp
72,720,60,25440,10,2,c,294,2,pp
45,240,60,25440,10,5,e,295,2,pp
60,240,60,25680,10,5,e,296,2,pp
53,240,60,25680,10,5,e,297,1,pp
65,240,60,25920,10,5,e,298,2,pp
60,240,60,25920,10,5,e,299,1,pp
75,240,60,26160,11,2,e,300,2,pp
44,240,60,26160,11,5,e,301,2,pp
75,240,60,26400,11,2,e,302,2,pp
60,240,60,26400,11,5,e,303,2,pp
51,240,60,26400,11,5,e,304,1,pp
75,240,60,26640,11,2,e,305,2,pp
63,240,60,26640,11,5,e,306,2,pp
60,240,60,26640,11,5,e,307,1,pp
56,240,60,26640,11,5,e,308,1,pp
75,240,60,26880,11,2,e,309,2,pp
32,240,60,26880,11,5,e,310,2,pp
74,120,60,27120,11,2,s,311,2,pp
59,240,60,27120,11,5,e,312,2,pp
51,240,60,27120,11,5,e,313,1,pp
75,120,60,27240,11,2,s,314,2,pp
77,180,60,27360,11,2,f,315,2,pp
63,240,60,27360,11,5,e,316,2,pp
59,240,60,27360,11,5,e,317,1,pp
56,240,60,27360,11,5,e,318,1,pp
75,60,60,27540,11,2,t,319,2,pp
75,720,60,27600,11,2,c,320,2,pp
39,240,60,27600,11,5,e,321,2,pp
63,240,60,27840,11,5,e,322,2,pp
55,240,60,27840,11,5,e,323,1,pp
67,240,60,28080,11,5,e,324,2,pp
63,240,60,28080,11,5,e,325,1,pp
58,240,60,28080,11,5,e,326,1,pp
70,720,60,28320,11,2,c,327,2,pp
51,240,60,28320,11,5,e,328,2,pp
63,240,60,28560,11,5,e,329,2,pp
55,240,60,28560,11,5,e,330,1,pp
67,240,60,28800,11,5,e,331,2,pp
63,240,60,28800,11,5,e,332,1,pp
58,240,60,28800,11,5,e,333,1,pp
82,720,60,29040,12,2,c,334,2,f
40,240,60,29040,12,5,e,335,2,f
61,240,60,29280,12,5,e,336,2,f
52,240,60,29280,12,5,e,337,1,f
67,240,60,29520,12,5,e,338,2,f
61,240,60,29520,12,5,e,339,1,f
58,240,60,29520,12,5,e,340,1,f
81,480,60,29760,12,2,q,341,2,f
40,240,60,29760,12,5,e,342,2,f
60,240,60,30000,12,5,e,343,2,f
52,240,60,30000,12,5,e,344,1,f
79,240,60,30240,12,2,e,345,2,f
67,240,60,30240,12,5,e,346,2,f
60,240,60,30240,12,5,e,347,1,f
58,240,60,30240,12,5,e,348,1,f
77,720,60,30480,12,2,c,349,2,f
69,720,60,30480,12,2,c,350,1,f
41,240,60,30480,12,5,e,351,2,f
63,240,60,30720,12,5,e,352,2,f
53,240,60,30720,12,5,e,353,1,f
69,240,60,30960,12,5,e,354,2,f
63,240,60,30960,12,5,e,355,1,f
60,240,60,30960,12,5,e,356,1,f
74,720,60,31200,12,2,c,357,2,f
70,720,60,31200,12,2,c,358,1,f
43,240,60,31200,12,5,e,359,2,f
62,240,60,31440,12,5,e,360,2,f
55,240,60,31440,12,5,e,361,1,f
70,240,60,31680,12,5,e,362,2,f
62,240,60,31680,12,5,e,363,1,f
58,240,60,31680,12,5,e,364,1,f
75,720,60,31920,13,2,c,365,2,f
67,720,60,31920,13,2,c,366,1,f
36,240,60,31920,13,5,e,367,2,f
63,240,60,32160,13,5,e,368,2,f
55,240,60,32160,13,5,e,369,1,f
67,240,60,32400,13,5,e,370,2,f
63,240,60,32400,13,5,e,371,1,f
60,240,60,32400,13,5,e,372,1,f
74,240,60,32640,13,2,e,373,2,f
69,240,60,32640,13,2,e,374,1,f
41,240,60,32640,13,5,e,375,2,f
72,240,60,32880,13,2,e,376,2,f
69,240,60,32880,13,2,e,377,1,f
63,240,60,32880,13,5,e,378,2,f
53,240,60,32880,13,5,e,379,1,f
74,240,60,33120,13,2,e,380,2,f
69,240,60,33120,13,2,e,381,1,f
65,240,60,33120,13,5,e,382,2,f
63,240,60,33120,13,5,e,383,1,f
60,240,60,33120,13,5,e,384,1,f
70,240,60,33360,13,2,e,385,2,f
65,240,60,33360,13,2,e,386,1,f
62,240,60,33360,13,5,e,387,2,f
58,240,60,33360,13,5,e,388,1,f
71,240,60,33600,13,2,e,389,2,f
66,240,60,33600,13,2,e,390,1,f
